Table S1. The detailed information of the dataset.							
tfname	cellline	Experiment_accession	File_accession	File_format	File_format_type	File_assembly	File_download_URL
CTCF	A549	ENCSR000DPF	ENCFF001XLL	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XLL/@@download/ENCFF001XLL.bed.gz
CTCF	A549	ENCSR000DPF	ENCFF001XLN	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XLN/@@download/ENCFF001XLN.bed.gz
CTCF	A549	ENCSR000DPF	ENCFF002DBU	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF002DBU/@@download/ENCFF002DBU.bed.gz
CTCF	A549	ENCSR000DPF	ENCFF413SFF	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF413SFF/@@download/ENCFF413SFF.bigWig
CTCF	GM12878	ENCSR000DRZ	ENCFF001XPJ	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XPJ/@@download/ENCFF001XPJ.bed.gz
CTCF	GM12878	ENCSR000DRZ	ENCFF001XPK	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XPK/@@download/ENCFF001XPK.bed.gz
CTCF	GM12878	ENCSR000DRZ	ENCFF002DCM	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF002DCM/@@download/ENCFF002DCM.bed.gz
CTCF	GM12878	ENCSR000DRZ	ENCFF886KRA	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF886KRA/@@download/ENCFF886KRA.bigWig
CTCF	HeLa-S3	ENCSR000DUB	ENCFF001XQV	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XQV/@@download/ENCFF001XQV.bed.gz
CTCF	HeLa-S3	ENCSR000DUB	ENCFF001XQW	bed broadPeak	hotspots	hg19	https://www.encodeproject.org/files/ENCFF001XQW/@@download/ENCFF001XQW.bed.gz
CTCF	HeLa-S3	ENCSR000DUB	ENCFF002DCW	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF002DCW/@@download/ENCFF002DCW.bed.gz
CTCF	HeLa-S3	ENCSR000DUB	ENCFF004JXY	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF004JXY/@@download/ENCFF004JXY.bigWig
CTCF	HepG2	ENCSR000BIE	ENCFF001UFO	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UFO/@@download/ENCFF001UFO.bed.gz
CTCF	HepG2	ENCSR000BIE	ENCFF001UFP	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UFP/@@download/ENCFF001UFP.bed.gz
CTCF	HepG2	ENCSR000BIE	ENCFF804LNZ	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF804LNZ/@@download/ENCFF804LNZ.bigWig
CTCF	HepG2	ENCSR000BIE	ENCFF237OKO	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF237OKO/@@download/ENCFF237OKO.bed.gz
CTCF	K562	ENCSR000BPJ	ENCFF001UJL	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UJL/@@download/ENCFF001UJL.bed.gz
CTCF	K562	ENCSR000BPJ	ENCFF001UJM	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UJM/@@download/ENCFF001UJM.bed.gz
CTCF	K562	ENCSR000BPJ	ENCFF085HTY	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF085HTY/@@download/ENCFF085HTY.bed.gz
CTCF	K562	ENCSR000BPJ	ENCFF014YLT	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF014YLT/@@download/ENCFF014YLT.bigWig
EP300	GM12878	ENCSR000BHB	ENCFF001TXW	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001TXW/@@download/ENCFF001TXW.bed.gz
EP300	GM12878	ENCSR000BHB	ENCFF001TXX	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001TXX/@@download/ENCFF001TXX.bed.gz
EP300	GM12878	ENCSR000BHB	ENCFF508TEV	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF508TEV/@@download/ENCFF508TEV.bigWig
EP300	GM12878	ENCSR000BHB	ENCFF302XID	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF302XID/@@download/ENCFF302XID.bed.gz
EP300	H1	ENCSR000BKK	ENCFF001UBU	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UBU/@@download/ENCFF001UBU.bed.gz
EP300	H1	ENCSR000BKK	ENCFF001UBV	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UBV/@@download/ENCFF001UBV.bed.gz
EP300	H1	ENCSR000BKK	ENCFF887SOZ	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF887SOZ/@@download/ENCFF887SOZ.bigWig
EP300	H1	ENCSR000BKK	ENCFF843SYD	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF843SYD/@@download/ENCFF843SYD.bed.gz
